client_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
3,400,6,4,sqrt,2,False
4,600,4,3,sqrt,5,False
6,200,4,5,log2,2,True
9,300,10,2,sqrt,2,True
1,600,4,1,sqrt,5,False
5,300,10,5,sqrt,10,True
7,300,4,2,sqrt,20,False
10,400,6,4,log2,5,False
8,700,4,5,sqrt,20,True
2,1000,8,4,sqrt,10,True
12,100,10,5,log2,40,True
16,800,2,1,sqrt,40,False
14,300,4,4,log2,20,False
18,700,2,3,log2,20,False
13,100,8,2,log2,10,False
11,700,2,2,log2,40,False
19,1000,10,5,sqrt,40,True
17,1000,2,4,log2,20,True
15,1000,2,1,sqrt,40,False
20,800,2,5,sqrt,20,True
27,200,2,3,sqrt,10,True
22,600,4,4,log2,10,True
24,900,10,1,sqrt,2,False
21,700,4,5,sqrt,40,True
26,700,4,1,sqrt,5,True
25,600,2,1,sqrt,40,False
28,900,6,1,sqrt,5,True
23,1000,2,3,log2,5,True
29,700,6,5,sqrt,10,True
30,400,8,4,log2,20,True
31,300,10,1,sqrt,2,False
33,400,10,4,log2,2,True
35,400,4,5,sqrt,5,True
37,600,10,4,log2,10,True
36,500,6,5,log2,2,False
40,600,8,4,log2,5,True
38,100,8,3,sqrt,2,False
34,900,10,5,log2,10,True
32,700,4,5,log2,40,True
39,1000,10,4,log2,10,True
47,200,2,3,sqrt,10,False
42,900,4,4,sqrt,5,True
41,300,10,5,sqrt,2,True
46,400,8,5,sqrt,5,True
44,400,2,2,sqrt,40,False
43,900,2,1,sqrt,10,False
48,800,8,1,log2,10,False
45,1000,6,4,sqrt,2,True
49,600,4,2,sqrt,20,False
50,200,10,3,log2,5,False
51,200,4,3,sqrt,20,False
52,300,4,2,log2,5,True
53,300,6,1,log2,40,True
54,600,4,4,log2,10,False
58,100,4,5,sqrt,10,True
56,300,8,4,sqrt,5,False
57,200,6,4,sqrt,20,False
55,600,10,1,sqrt,2,False
60,200,6,1,log2,20,True
59,100,2,2,log2,5,True
61,200,8,2,log2,5,False
66,100,6,4,sqrt,2,False
62,1000,2,4,log2,5,True
64,500,4,2,sqrt,40,False
65,200,6,2,sqrt,20,False
63,900,2,3,sqrt,2,False
67,600,8,4,log2,5,False
70,400,2,5,log2,2,False
68,1000,4,2,sqrt,40,True
69,300,8,4,sqrt,5,False
72,300,6,2,sqrt,20,True
71,600,8,1,log2,20,True
74,600,8,5,sqrt,20,False
73,100,8,3,sqrt,40,False
76,700,6,1,sqrt,10,True
77,200,10,4,sqrt,40,False
75,600,2,2,log2,40,True
78,200,2,5,log2,40,True
79,300,8,4,sqrt,2,False
80,200,2,1,log2,5,True
82,200,6,3,log2,5,False
83,900,6,1,log2,40,True
81,100,4,5,sqrt,10,True
85,600,4,2,log2,5,False
84,700,2,3,log2,5,True
87,300,4,3,log2,20,False
89,800,2,2,sqrt,40,False
90,300,4,2,sqrt,10,False
88,600,6,4,log2,2,True
86,600,4,3,log2,5,True
96,300,10,4,sqrt,20,True
91,500,4,4,sqrt,5,False
93,500,6,5,log2,5,True
94,1000,4,2,sqrt,40,False
95,200,2,5,log2,40,False
92,1000,2,1,log2,20,True
99,700,10,1,sqrt,5,True
97,600,4,3,sqrt,40,False
100,1000,10,1,sqrt,20,True
98,900,2,1,log2,20,True
