client_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
1,100,8,5,sqrt,5,False
2,100,6,4,sqrt,20,True
5,800,6,3,log2,2,True
6,500,10,4,sqrt,2,True
9,400,2,5,log2,10,False
4,100,8,1,log2,5,True
7,300,6,2,sqrt,40,True
3,800,10,1,sqrt,20,True
8,500,4,4,sqrt,2,False
10,400,8,3,log2,10,True
17,500,6,5,sqrt,10,False
15,700,6,5,sqrt,2,False
18,900,8,4,log2,10,True
16,900,2,1,sqrt,2,False
13,1000,6,3,sqrt,40,True
20,600,2,1,sqrt,5,True
12,600,4,2,sqrt,20,True

14,600,4,5,sqrt,40,True
27,200,2,5,sqrt,10,True
24,300,2,5,sqrt,40,False
22,300,2,2,sqrt,5,True
21,1000,4,2,log2,2,True
26,300,10,4,log2,40,True
23,600,4,4,sqrt,5,True
25,700,2,5,sqrt,5,False
28,400,8,5,sqrt,2,True
29,600,4,5,sqrt,5,False
30,700,10,5,sqrt,20,False
34,700,10,4,log2,5,True
35,700,4,3,log2,20,True
32,200,8,5,sqrt,10,True
31,1000,10,1,sqrt,2,False
36,400,4,2,log2,40,True
33,900,10,1,sqrt,5,True
40,400,4,5,sqrt,20,False
38,400,2,4,log2,40,True
37,700,2,5,log2,5,True
39,700,8,4,log2,40,True
49,300,2,2,log2,5,False
41,600,8,4,log2,10,True
46,300,10,4,log2,2,False
42,200,10,4,log2,20,True
48,800,4,4,sqrt,10,True
47,600,6,1,log2,5,True
50,200,2,4,log2,20,True
45,100,10,4,sqrt,5,False
43,300,6,4,log2,5,True
54,200,10,2,sqrt,10,True
55,200,4,3,sqrt,10,True
51,200,4,2,log2,5,True
56,100,2,2,sqrt,2,True
52,1000,8,3,log2,2,False
53,800,10,4,sqrt,10,True
57,800,4,3,log2,2,True
59,600,8,5,sqrt,10,True
58,600,2,5,log2,40,True
60,1000,2,1,log2,20,True
61,500,6,4,log2,20,True
65,500,10,5,sqrt,40,True
66,900,8,5,sqrt,5,True
62,700,8,4,log2,20,True
64,1000,2,5,log2,5,True
63,600,8,4,sqrt,5,True
67,500,2,3,sqrt,2,False
68,100,2,5,log2,2,True
69,300,6,2,sqrt,40,False
70,1000,2,5,log2,2,False
72,800,6,2,sqrt,2,True
74,300,4,5,sqrt,20,True
77,100,8,3,log2,2,False
76,200,10,4,sqrt,40,True
71,500,2,3,log2,20,False
73,1000,10,4,sqrt,2,True
75,1000,2,2,log2,5,False
79,800,10,4,sqrt,10,True
78,700,8,2,sqrt,5,True
80,900,2,4,log2,20,True
81,300,2,4,log2,2,False
82,500,4,1,log2,40,True
86,100,8,3,sqrt,5,True
83,300,2,5,sqrt,5,False
89,600,10,4,log2,2,True
84,600,4,4,log2,10,True
87,600,4,4,sqrt,20,True
85,1000,8,1,log2,40,True
88,800,4,4,sqrt,20,True
90,200,2,1,log2,5,True
95,400,6,5,sqrt,20,False
93,300,4,4,log2,5,True
94,100,2,2,log2,10,True
91,600,8,1,log2,10,True
92,800,8,2,log2,40,True
96,700,8,4,sqrt,10,True
99,800,6,5,sqrt,5,True
100,300,4,1,log2,20,False
98,900,8,3,sqrt,10,True
97,800,4,5,log2,5,False
11,200,4,1,log2,10,True
19,400,6,1,sqrt,40,True
44,400,2,4,sqrt,20,True
